"pincode","district","latitude","longitude","Demand"
522426,"Palnadu","16.5421000","79.3598000",4
522426,"Palnadu","16.5104000","79.3065000",4
522426,"Palnadu","16.5211000","79.3625000",4
522426,"Palnadu","16.4576000","79.4688000",4
522436,"Palnadu","16.5642000","80.2546000",2
522413,"Palnadu","16.5053000","79.9244000",2
522413,"Palnadu","16.5185000","79.9085000",2
522413,"Palnadu","16.4587000","79.9548000",2
522413,"Palnadu","16.5938000","79.9081000",2
522413,"Palnadu","16.5402000","79.9031000",2
522413,"Palnadu","16.4620000","79.9190000",2
522413,"Palnadu","16.431","79.995",2
522413,"Palnadu","16.441206","79.910644",2
522413,"Palnadu","16.628135","79.909515",2
522613,"Palnadu","16.3545000","79.4009000",1
524203,"SPSR NELLORE","14.9169290","80.0262450",2
524203,"SPSR NELLORE","14.9523120","80.0269440",2
524203,"SPSR NELLORE","14.9801940","80.0045810",2
524203,"SPSR NELLORE","14.9020740","80.0660650",2
524222,"SPSR NELLORE","14.9059990","79.3697870",2
524226,"SPSR NELLORE","14.0659020","79.6852900",2
524226,"SPSR NELLORE","15.0334490","79.7589130",2
524228,"SPSR NELLORE","14.9544870","79.6334120",1
524228,"SPSR NELLORE","14.8308120","79.5350530",1
524315,"SPSR NELLORE","14.7580140","80.0863170",5
524315,"SPSR NELLORE","14.6858130","80.0573180",5
524004,"SPSR NELLORE","14.2787660","79.8821830",57
524346,"SPSR NELLORE","14.3905310","80.0269440",2
524305,"SPSR NELLORE","14.5567290","79.8860320",15
524003,"SPSR NELLORE","14.3818610","79.9920000",51
524314,"SPSR NELLORE","14.4534680","80.0470560",7
524314,"SPSR NELLORE","14.4864040","80.0493010",7
524314,"SPSR NELLORE","14.4481180","79.9847110",7
524307,"SPSR NELLORE","14.6503350","79.5547240",1
524307,"SPSR NELLORE","14.6553170","79.5217020",1
524137,"SPSR NELLORE","14.5289520","80.0178620",12
524137,"SPSR NELLORE","14.4950670","79.9573910",12
524137,"SPSR NELLORE","14.4776700","79.9794160",12
524137,"SPSR NELLORE","14.5348190","80.0541910",12
524344,"SPSR NELLORE","14.4105630","79.9582580",1
524344,"SPSR NELLORE","13.0927770","80.2818930",1
524344,"SPSR NELLORE","14.2886050","80.1248400",1
524313,"SPSR NELLORE","14.5355350","80.1219210",1
524366,"SPSR NELLORE","14.5564540","79.9462010",2
524311,"SPSR NELLORE","14.4049780","80.0924270",1
523171,"Bapatla","16.0387880","80.2920590",1
523171,"Bapatla","15.9937290","80.2119140",1
523165,"Bapatla","15.8262060","80.3449830",2
523169,"Bapatla","16.0218540","80.3135300",5
523157,"Bapatla","15.8194890","80.3659100",17
523281,"PRAKASAM","15.0755800","79.8289740",2
523281,"PRAKASAM","15.0700930","79.8470360",2
523281,"PRAKASAM","15.0959500","79.9198210",2
523271,"PRAKASAM","15.3214810","79.8408570",3
523271,"PRAKASAM","15.3337320","79.9067750",3
523271,"PRAKASAM","15.3145270","79.8848880",3
523271,"PRAKASAM","15.2988810","79.8831710",3
523271,"PRAKASAM","15.3546730","79.7427520",3
523101,"PRAKASAM","15.3047790","80.0227580",3
523274,"PRAKASAM","15.3212950","80.0446440",3
523292,"PRAKASAM","15.1326370","79.9566250",2
523292,"PRAKASAM","15.0940230","79.9898840",2
523279,"PRAKASAM","15.3600100","79.9755710",9
523279,"PRAKASAM","15.3788400","79.9158730",9
523272,"PRAKASAM","15.420436","79.992000000000004",5
523272,"PRAKASAM","15.445966","79.948649000000003",5
523247,"PRAKASAM","15.7470920","79.6448450",2
523247,"PRAKASAM","15.7857290","79.7115440",2
523247,"PRAKASAM","15.7178670","79.6414720",2
506349,"Mulugu","18.131969900000001","79.782697299999995",3
523304,"PRAKASAM","15.4024180","79.5074270",0
523304,"PRAKASAM","15.7359010","79.5547240",0
523304,"PRAKASAM","15.9248920","79.6046500",0
523265,"PRAKASAM","15.8069960","79.7982930",1
523265,"PRAKASAM","15.9296830","79.7963890",1
523265,"PRAKASAM","15.9113150","79.8123780",1
523265,"PRAKASAM","15.6517500","79.6371500",1
523108,"PRAKASAM","15.1730040","79.3857820",2
523108,"PRAKASAM","15.2261400","15.2261400",2
523201,"Bapatla","15.8528040","79.9416520",11
523201,"Bapatla","15.7923770","80.0421370",11
523201,"PRAKASAM","15.9094570","79.8815400",11
523180,"PRAKASAM","15.6063150","80.1637900",0
523180,"PRAKASAM","15.6294380","80.1613140",0
523226,"PRAKASAM","15.5084470","79.8121640",2
523280,"PRAKASAM","15.4031640","80.1302430",2
523280,"PRAKASAM","15.3545020","80.0821780",2
523303,"Bapatla","16.9800520","79.9748040",2
523303,"Bapatla","15.9595860","79.9600410",2
523286,"PRAKASAM","15.4894450","80.1903030",1
523286,"PRAKASAM","15.4686540","80.1847460",1
523212,"Bapatla","15.5857650","80.0297390",1
523212,"Bapatla","15.7813540","80.0255470",1
523183,"PRAKASAM","16.2350320","80.7290640",1
523183,"Bapatla","15.6877420","80.1051680",1
523225,"PRAKASAM","15.4995790","79.9689670",1
523225,"PRAKASAM","15.5568870","79.9682290",1
523264,"PRAKASAM","15.6631890","79.9486490",1
534342,"WEST GODAVARI","16.9683500","81.6987989",4
534313,"WEST GODAVARI","17.021599999999999","81.535700000000006",7
534318,"WEST GODAVARI","17.1792222","81.5315419",1
534318,"WEST GODAVARI","17.1727275","81.5919847",1
534318,"Eluru","17.2201466","81.5800712",1
534301,"WEST GODAVARI","16.9136509","81.6509645",3
534340,"WEST GODAVARI","17.0805996","81.6351020",1
534340,"WEST GODAVARI","17.0640872","81.6593920",1
534340,"WEST GODAVARI","17.0798808","81.6500042",1
534340,"WEST GODAVARI","17.0670309","81.7048824",1
534340,"WEST GODAVARI","17.074159999999999","81.673590000000004",1
534111,"WEST GODAVARI","16.9581027","81.4598558",1
534156,"WEST GODAVARI","16.7496448","81.5881789",1
534198,"WEST GODAVARI","16.6636572","81.4839810",1
534145,"WEST GODAVARI","16.8996338","81.5648926",1
534145,"WEST GODAVARI","16.8641375","81.5814043",1
534145,"WEST GODAVARI","16.8821096","81.5672816",1
534112,"WEST GODAVARI","16.9049542","81.3771475",0
534166,"WEST GODAVARI","16.7884275","81.4974787",2
534102,"WEST GODAVARI","16.8506742","81.5083501",4
534102,"WEST GODAVARI","16.8729782","81.4630600",4
506342,"WARANGAL","18.0682833","79.6870966",1
811101,"SHEIKHPURA","25.12406","85.459475",4
811101,"SHEIKHPURA","25.141694","85.862891",4
811211,"MUNGER","25.2239186","86.5930592",1
811211,"MUNGER","25.374756","86.473525",1
811213,"MUNGER","25.374756","86.473525",1
811213,"MUNGER","25.374756","86.473525",1
811213,"MUNGER","24.9514613","86.5930592",1
